id;Kreis;ausl_m;ausl_w;ausl_insg
01001;Flensburg, kreisfreie Stadt;8625;6645;15270
01002;Kiel, kreisfreie Stadt;15750;14270;30020
01003;Lübeck, kreisfreie Stadt;13445;12000;25440
01004;Neumünster, kreisfreie Stadt;6705;5005;11710
01051;Dithmarschen, Landkreis;4870;3985;8855
01053;Herzogtum Lauenburg, Landkreis;9105;7740;16845
01054;Nordfriesland, Landkreis;6775;5980;12755
01055;Ostholstein, Landkreis;6870;5895;12760
01056;Pinneberg, Landkreis;19535;17875;37410
01057;Plön, Landkreis;3525;3015;6540
01058;Rendsburg-Eckernförde, Landkreis;8965;7335;16305
01059;Schleswig-Flensburg, Landkreis;6290;5480;11770
01060;Segeberg, Landkreis;15665;12660;28325
01061;Steinburg, Landkreis;5335;4270;9605
01062;Stormarn, Landkreis;10345;9410;19755
02000;Hamburg, kreisfreie Stadt;167820;149740;317560
03101;Braunschweig, kreisfreie Stadt;16920;14525;31445
03102;Salzgitter, kreisfreie Stadt;10875;9305;20175
03103;Wolfsburg, kreisfreie Stadt;11020;9140;20160
03151;Gifhorn, Landkreis;6565;5765;12330
03152;Göttingen, Landkreis (bis 31.10.2016);-;-;-
03153;Goslar, Landkreis;7875;6145;14020
03154;Helmstedt, Landkreis;3610;2925;6535
03155;Northeim, Landkreis;4860;4365;9225
03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-
03157;Peine, Landkreis;6030;5310;11340
03158;Wolfenbüttel, Landkreis;4130;3545;7675
03159;Göttingen, Landkreis;16500;15590;32090
03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-
03241;Region Hannover, Landkreis;98355;86955;185310
03251;Diepholz, Landkreis;9780;8760;18545
03252;Hameln-Pyrmont, Landkreis;8850;8060;16910
03253;Hannover, Landkreis (bis 31.10.2001);-;-;-
03254;Hildesheim, Landkreis;13485;11510;24995
03255;Holzminden, Landkreis;2295;1980;4275
03256;Nienburg (Weser), Landkreis;5620;4725;10345
03257;Schaumburg, Landkreis;7660;6595;14255
03351;Celle, Landkreis;7685;6645;14330
03352;Cuxhaven, Landkreis;7200;6145;13345
03353;Harburg, Landkreis;12365;8920;21285
03354;Lüchow-Dannenberg, Landkreis;1495;1295;2785
03355;Lüneburg, Landkreis;7160;5960;13120
03356;Osterholz, Landkreis;3455;3260;6715
03357;Rotenburg (Wümme), Landkreis;6440;5145;11585
03358;Heidekreis;6885;5645;12525
03359;Stade, Landkreis;10960;8425;19385
03360;Uelzen, Landkreis;3030;2735;5765
03361;Verden, Landkreis;6045;5130;11175
03401;Delmenhorst, kreisfreie Stadt;6925;6295;13220
03402;Emden, kreisfreie Stadt;3360;2315;5675
03403;Oldenburg (Oldenburg), kreisfreie Stadt;9620;8665;18285
03404;Osnabrück, kreisfreie Stadt;13630;11655;25290
03405;Wilhelmshaven, kreisfreie Stadt;4945;3845;8785
03451;Ammerland, Landkreis;4590;3935;8525
03452;Aurich, Landkreis;6455;5025;11480
03453;Cloppenburg, Landkreis;10885;8005;18890
03454;Emsland, Landkreis;24340;16090;40430
03455;Friesland, Landkreis;2570;2270;4840
03456;Grafschaft Bentheim, Landkreis;12065;9965;22030
03457;Leer, Landkreis;8535;6320;14855
03458;Oldenburg, Landkreis;6960;5565;12525
03459;Osnabrück, Landkreis;18205;15235;33445
03460;Vechta, Landkreis;11240;9470;20715
03461;Wesermarsch, Landkreis;4400;3380;7780
03462;Wittmund, Landkreis;1435;1310;2745
04011;Bremen, kreisfreie Stadt;60150;51980;112130
04012;Bremerhaven, kreisfreie Stadt;12820;10655;23475
05111;Düsseldorf, kreisfreie Stadt;85680;81545;167230
05112;Duisburg, kreisfreie Stadt;62720;53165;115880
05113;Essen, kreisfreie Stadt;56815;51760;108575
05114;Krefeld, kreisfreie Stadt;22205;19760;41965
05116;Mönchengladbach, kreisfreie Stadt;25720;22495;48215
05117;Mülheim an der Ruhr, kreisfreie Stadt;14890;13600;28490
05119;Oberhausen, kreisfreie Stadt;17975;15890;33865
05120;Remscheid, kreisfreie Stadt;10895;9885;20780
05122;Solingen, kreisfreie Stadt;14185;13390;27575
05124;Wuppertal, kreisfreie Stadt;42695;37160;79855
05154;Kleve, Landkreis;30420;23520;53940
05158;Mettmann, Landkreis;34940;32965;67910
05162;Rhein-Kreis Neuss;35105;31510;66615
05166;Viersen, Landkreis;16255;14580;30835
05170;Wesel, Landkreis;23935;21380;45315
05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-
05314;Bonn, kreisfreie Stadt;31960;30180;62140
05315;Köln, kreisfreie Stadt;117860;109090;226950
05316;Leverkusen, kreisfreie Stadt;14505;13520;28025
05334;Städteregion Aachen, Landkreis;50360;42130;92490
05354;Aachen, Landkreis (bis 20.10.2009);-;-;-
05358;Düren, Landkreis;17835;14800;32635
