ds,bing_tiles_visited,single_tile_users,driving,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,#cases,bing_tiles_visited t-1,single_tile_users t-1,driving t-1,retail_and_recreation t-1,grocery_and_pharmacy t-1,parks t-1,transit_stations t-1,workplaces t-1,residential t-1,bing_tiles_visited t-2,single_tile_users t-2,driving t-2,retail_and_recreation t-2,grocery_and_pharmacy t-2,parks t-2,transit_stations t-2,workplaces t-2,residential t-2,bing_tiles_visited t-3,single_tile_users t-3,driving t-3,retail_and_recreation t-3,grocery_and_pharmacy t-3,parks t-3,transit_stations t-3,workplaces t-3,residential t-3,bing_tiles_visited t-4,single_tile_users t-4,driving t-4,retail_and_recreation t-4,grocery_and_pharmacy t-4,parks t-4,transit_stations t-4,workplaces t-4,residential t-4,bing_tiles_visited t-5,single_tile_users t-5,driving t-5,retail_and_recreation t-5,grocery_and_pharmacy t-5,parks t-5,transit_stations t-5,workplaces t-5,residential t-5,bing_tiles_visited t-6,single_tile_users t-6,driving t-6,retail_and_recreation t-6,grocery_and_pharmacy t-6,parks t-6,transit_stations t-6,workplaces t-6,residential t-6,bing_tiles_visited t-7,single_tile_users t-7,driving t-7,retail_and_recreation t-7,grocery_and_pharmacy t-7,parks t-7,transit_stations t-7,workplaces t-7,residential t-7,bing_tiles_visited t-8,single_tile_users t-8,driving t-8,retail_and_recreation t-8,grocery_and_pharmacy t-8,parks t-8,transit_stations t-8,workplaces t-8,residential t-8,bing_tiles_visited t-9,single_tile_users t-9,driving t-9,retail_and_recreation t-9,grocery_and_pharmacy t-9,parks t-9,transit_stations t-9,workplaces t-9,residential t-9,bing_tiles_visited t-10,single_tile_users t-10,driving t-10,retail_and_recreation t-10,grocery_and_pharmacy t-10,parks t-10,transit_stations t-10,workplaces t-10,residential t-10,state
2020-03-11,-0.039189999999999996,0.18472,94.28,-5.0,1.0,2.0,-10.0,-3.0,2.0,705.0,-0.00921,0.18774000000000002,96.49,-9.0,-2.0,-15.0,-10.0,-2.0,3.0,0.08812,0.17139000000000001,95.11,-3.0,1.0,4.0,-7.0,0.0,1.0,0.04832,0.33906,94.87,2.0,13.0,14.0,-6.0,-1.0,1.0,0.03507,0.21765,105.52,1.0,-1.0,46.0,0.0,0.0,1.0,-0.03569,0.17912,108.88,-3.0,1.0,-9.0,-7.0,-2.0,2.0,0.0052,0.17409000000000002,101.23,-6.0,-2.0,-15.0,-7.0,-1.0,2.0,-0.00509,0.17327,100.06,2.0,2.0,19.0,-5.0,-1.0,1.0,0.03875,0.16648,103.45,2.0,5.0,24.0,-3.0,-1.0,1.0,0.10552,0.16534000000000001,96.52,-2.0,6.0,-5.0,-3.0,1.0,0.0,0.024480000000000002,0.3435,95.18,3.0,13.0,20.0,-2.0,0.0,1.0,Nordrhein-Westfalen
2020-03-12,0.0044,0.17162,88.98,-6.0,5.0,11.0,-9.0,-3.0,2.0,731.0,-0.039189999999999996,0.18472,94.28,-5.0,1.0,2.0,-10.0,-3.0,2.0,-0.00921,0.18774000000000002,96.49,-9.0,-2.0,-15.0,-10.0,-2.0,3.0,0.08812,0.17139000000000001,95.11,-3.0,1.0,4.0,-7.0,0.0,1.0,0.04832,0.33906,94.87,2.0,13.0,14.0,-6.0,-1.0,1.0,0.03507,0.21765,105.52,1.0,-1.0,46.0,0.0,0.0,1.0,-0.03569,0.17912,108.88,-3.0,1.0,-9.0,-7.0,-2.0,2.0,0.0052,0.17409000000000002,101.23,-6.0,-2.0,-15.0,-7.0,-1.0,2.0,-0.00509,0.17327,100.06,2.0,2.0,19.0,-5.0,-1.0,1.0,0.03875,0.16648,103.45,2.0,5.0,24.0,-3.0,-1.0,1.0,0.10552,0.16534000000000001,96.52,-2.0,6.0,-5.0,-3.0,1.0,0.0,Nordrhein-Westfalen
2020-03-13,-0.04677,0.18027,83.24,-11.0,18.0,-4.0,-15.0,-4.0,4.0,863.0,0.0044,0.17162,88.98,-6.0,5.0,11.0,-9.0,-3.0,2.0,-0.039189999999999996,0.18472,94.28,-5.0,1.0,2.0,-10.0,-3.0,2.0,-0.00921,0.18774000000000002,96.49,-9.0,-2.0,-15.0,-10.0,-2.0,3.0,0.08812,0.17139000000000001,95.11,-3.0,1.0,4.0,-7.0,0.0,1.0,0.04832,0.33906,94.87,2.0,13.0,14.0,-6.0,-1.0,1.0,0.03507,0.21765,105.52,1.0,-1.0,46.0,0.0,0.0,1.0,-0.03569,0.17912,108.88,-3.0,1.0,-9.0,-7.0,-2.0,2.0,0.0052,0.17409000000000002,101.23,-6.0,-2.0,-15.0,-7.0,-1.0,2.0,-0.00509,0.17327,100.06,2.0,2.0,19.0,-5.0,-1.0,1.0,0.03875,0.16648,103.45,2.0,5.0,24.0,-3.0,-1.0,1.0,Nordrhein-Westfalen
2020-03-14,-0.030180000000000002,0.23690999999999998,75.34,-18.0,9.0,44.0,-19.0,-4.0,4.0,898.0,-0.04677,0.18027,83.24,-11.0,18.0,-4.0,-15.0,-4.0,4.0,0.0044,0.17162,88.98,-6.0,5.0,11.0,-9.0,-3.0,2.0,-0.039189999999999996,0.18472,94.28,-5.0,1.0,2.0,-10.0,-3.0,2.0,-0.00921,0.18774000000000002,96.49,-9.0,-2.0,-15.0,-10.0,-2.0,3.0,0.08812,0.17139000000000001,95.11,-3.0,1.0,4.0,-7.0,0.0,1.0,0.04832,0.33906,94.87,2.0,13.0,14.0,-6.0,-1.0,1.0,0.03507,0.21765,105.52,1.0,-1.0,46.0,0.0,0.0,1.0,-0.03569,0.17912,108.88,-3.0,1.0,-9.0,-7.0,-2.0,2.0,0.0052,0.17409000000000002,101.23,-6.0,-2.0,-15.0,-7.0,-1.0,2.0,-0.00509,0.17327,100.06,2.0,2.0,19.0,-5.0,-1.0,1.0,Nordrhein-Westfalen
2020-03-15,-0.04349,0.375,66.7,-16.0,7.0,90.0,-18.0,-7.0,3.0,888.0,-0.030180000000000002,0.23690999999999998,75.34,-18.0,9.0,44.0,-19.0,-4.0,4.0,-0.04677,0.18027,83.24,-11.0,18.0,-4.0,-15.0,-4.0,4.0,0.0044,0.17162,88.98,-6.0,5.0,11.0,-9.0,-3.0,2.0,-0.039189999999999996,0.18472,94.28,-5.0,1.0,2.0,-10.0,-3.0,2.0,-0.00921,0.18774000000000002,96.49,-9.0,-2.0,-15.0,-10.0,-2.0,3.0,0.08812,0.17139000000000001,95.11,-3.0,1.0,4.0,-7.0,0.0,1.0,0.04832,0.33906,94.87,2.0,13.0,14.0,-6.0,-1.0,1.0,0.03507,0.21765,105.52,1.0,-1.0,46.0,0.0,0.0,1.0,-0.03569,0.17912,108.88,-3.0,1.0,-9.0,-7.0,-2.0,2.0,0.0052,0.17409000000000002,101.23,-6.0,-2.0,-15.0,-7.0,-1.0,2.0,Nordrhein-Westfalen
2020-03-16,0.018869999999999998,0.1947,65.79,-10.0,20.0,46.0,-28.0,-19.0,6.0,1203.0,-0.04349,0.375,66.7,-16.0,7.0,90.0,-18.0,-7.0,3.0,-0.030180000000000002,0.23690999999999998,75.34,-18.0,9.0,44.0,-19.0,-4.0,4.0,-0.04677,0.18027,83.24,-11.0,18.0,-4.0,-15.0,-4.0,4.0,0.0044,0.17162,88.98,-6.0,5.0,11.0,-9.0,-3.0,2.0,-0.039189999999999996,0.18472,94.28,-5.0,1.0,2.0,-10.0,-3.0,2.0,-0.00921,0.18774000000000002,96.49,-9.0,-2.0,-15.0,-10.0,-2.0,3.0,0.08812,0.17139000000000001,95.11,-3.0,1.0,4.0,-7.0,0.0,1.0,0.04832,0.33906,94.87,2.0,13.0,14.0,-6.0,-1.0,1.0,0.03507,0.21765,105.52,1.0,-1.0,46.0,0.0,0.0,1.0,-0.03569,0.17912,108.88,-3.0,1.0,-9.0,-7.0,-2.0,2.0,Nordrhein-Westfalen
2020-03-17,-0.09601,0.22057,62.02,-21.0,12.0,67.0,-35.0,-27.0,10.0,979.0,0.018869999999999998,0.1947,65.79,-10.0,20.0,46.0,-28.0,-19.0,6.0,-0.04349,0.375,66.7,-16.0,7.0,90.0,-18.0,-7.0,3.0,-0.030180000000000002,0.23690999999999998,75.34,-18.0,9.0,44.0,-19.0,-4.0,4.0,-0.04677,0.18027,83.24,-11.0,18.0,-4.0,-15.0,-4.0,4.0,0.0044,0.17162,88.98,-6.0,5.0,11.0,-9.0,-3.0,2.0,-0.039189999999999996,0.18472,94.28,-5.0,1.0,2.0,-10.0,-3.0,2.0,-0.00921,0.18774000000000002,96.49,-9.0,-2.0,-15.0,-10.0,-2.0,3.0,0.08812,0.17139000000000001,95.11,-3.0,1.0,4.0,-7.0,0.0,1.0,0.04832,0.33906,94.87,2.0,13.0,14.0,-6.0,-1.0,1.0,0.03507,0.21765,105.52,1.0,-1.0,46.0,0.0,0.0,1.0,Nordrhein-Westfalen
2020-03-18,-0.17094,0.24561,57.02,-36.0,9.0,67.0,-41.0,-32.0,12.0,1030.0,-0.09601,0.22057,62.02,-21.0,12.0,67.0,-35.0,-27.0,10.0,0.018869999999999998,0.1947,65.79,-10.0,20.0,46.0,-28.0,-19.0,6.0,-0.04349,0.375,66.7,-16.0,7.0,90.0,-18.0,-7.0,3.0,-0.030180000000000002,0.23690999999999998,75.34,-18.0,9.0,44.0,-19.0,-4.0,4.0,-0.04677,0.18027,83.24,-11.0,18.0,-4.0,-15.0,-4.0,4.0,0.0044,0.17162,88.98,-6.0,5.0,11.0,-9.0,-3.0,2.0,-0.039189999999999996,0.18472,94.28,-5.0,1.0,2.0,-10.0,-3.0,2.0,-0.00921,0.18774000000000002,96.49,-9.0,-2.0,-15.0,-10.0,-2.0,3.0,0.08812,0.17139000000000001,95.11,-3.0,1.0,4.0,-7.0,0.0,1.0,0.04832,0.33906,94.87,2.0,13.0,14.0,-6.0,-1.0,1.0,Nordrhein-Westfalen
2020-03-19,-0.21227,0.26921999999999996,52.18,-49.0,-2.0,12.0,-48.0,-36.0,14.0,930.0,-0.17094,0.24561,57.02,-36.0,9.0,67.0,-41.0,-32.0,12.0,-0.09601,0.22057,62.02,-21.0,12.0,67.0,-35.0,-27.0,10.0,0.018869999999999998,0.1947,65.79,-10.0,20.0,46.0,-28.0,-19.0,6.0,-0.04349,0.375,66.7,-16.0,7.0,90.0,-18.0,-7.0,3.0,-0.030180000000000002,0.23690999999999998,75.34,-18.0,9.0,44.0,-19.0,-4.0,4.0,-0.04677,0.18027,83.24,-11.0,18.0,-4.0,-15.0,-4.0,4.0,0.0044,0.17162,88.98,-6.0,5.0,11.0,-9.0,-3.0,2.0,-0.039189999999999996,0.18472,94.28,-5.0,1.0,2.0,-10.0,-3.0,2.0,-0.00921,0.18774000000000002,96.49,-9.0,-2.0,-15.0,-10.0,-2.0,3.0,0.08812,0.17139000000000001,95.11,-3.0,1.0,4.0,-7.0,0.0,1.0,Nordrhein-Westfalen
2020-03-20,-0.28124,0.29513,48.14,-56.0,-1.0,-21.0,-55.0,-38.0,17.0,973.0,-0.21227,0.26921999999999996,52.18,-49.0,-2.0,12.0,-48.0,-36.0,14.0,-0.17094,0.24561,57.02,-36.0,9.0,67.0,-41.0,-32.0,12.0,-0.09601,0.22057,62.02,-21.0,12.0,67.0,-35.0,-27.0,10.0,0.018869999999999998,0.1947,65.79,-10.0,20.0,46.0,-28.0,-19.0,6.0,-0.04349,0.375,66.7,-16.0,7.0,90.0,-18.0,-7.0,3.0,-0.030180000000000002,0.23690999999999998,75.34,-18.0,9.0,44.0,-19.0,-4.0,4.0,-0.04677,0.18027,83.24,-11.0,18.0,-4.0,-15.0,-4.0,4.0,0.0044,0.17162,88.98,-6.0,5.0,11.0,-9.0,-3.0,2.0,-0.039189999999999996,0.18472,94.28,-5.0,1.0,2.0,-10.0,-3.0,2.0,-0.00921,0.18774000000000002,96.49,-9.0,-2.0,-15.0,-10.0,-2.0,3.0,Nordrhein-Westfalen
