pk_migra,pk_rki,pk_krim,pk_genesis,nuts2021,ident,,,,
Ahrweiler,LK Ahrweiler,Ahrweiler LK,"Ahrweiler, Landkreis",DEB12,Ahrweiler,,,,
Aichach-Friedberg,LK Aichach-Friedberg,Aichach-Friedberg LK,"Aichach-Friedberg, Landkreis",DE275,Aichach-Friedberg,,,,
Alb-Donau-Kreis,LK Alb-Donau-Kreis,Alb-Donau-Kreis LK,Alb-Donau-Kreis,DE145,Alb-Donau-Kreis,,,,
Altenburger Land,LK Altenburger Land,Altenburger Land LK,"Altenburger Land, Landkreis",DEG0M,Altenburger Land,,,,
Altenkirchen (Westerwald),LK Altenkirchen,Altenkirchen (Westerwald) LK,"Altenkirchen (Westerwald), Landkreis",DEB13,Altenkirchen (Westerwald),,,,
Altmarkkreis Salzwedel,LK Altmarkkreis Salzwedel,Altmarkkreis Salzwedel LK,Altmarkkreis Salzwedel,DEE04,Altmarkkreis Salzwedel,,,,
Altötting,LK Altötting,Altötting LK,"Altötting, Landkreis",DE214,Altötting,,,,
Alzey-Worms,LK Alzey-Worms,Alzey-Worms LK,"Alzey-Worms, Landkreis",DEB3B,Alzey-Worms,,,,
Amberg-Sulzbach,LK Amberg-Sulzbach,Amberg-Sulzbach LK,"Amberg-Sulzbach, Landkreis",DE234,Amberg-Sulzbach,,,,
Ammerland,LK Ammerland,Ammerland LK,"Ammerland, Landkreis",DE946,Ammerland,,,,
Anhalt-Bitterfeld,LK Anhalt-Bitterfeld,Anhalt-Bitterfeld LK,"Anhalt-Bitterfeld, Landkreis",DEE05,Anhalt-Bitterfeld,,,,
Ansbach,LK Ansbach,Ansbach LK,"Ansbach, Landkreis",DE256,"Ansbach, Landkreis",,,,
Aschaffenburg,LK Aschaffenburg,Aschaffenburg LK,"Aschaffenburg, Landkreis",DE264,"Aschaffenburg, Landkreis",,,,
Augsburg,LK Augsburg,Augsburg LK,"Augsburg, Landkreis",DE276,"Augsburg, Landkreis",,,,
Aurich,LK Aurich,Aurich LK,"Aurich, Landkreis",DE947,Aurich,,,,
Bad Dürkheim,LK Bad Dürkheim,Bad Dürkheim LK,"Bad Dürkheim, Landkreis",DEB3C,Bad Dürkheim,,,,
Bad Kissingen,LK Bad Kissingen,Bad Kissingen LK,"Bad Kissingen, Landkreis",DE265,Bad Kissingen,,,,
Bad Kreuznach,LK Bad Kreuznach,Bad Kreuznach LK,"Bad Kreuznach, Landkreis",DEB14,Bad Kreuznach,,,,
Bad Tölz-Wolfratshausen,LK Bad Tölz-Wolfratshausen,Bad Tölz-Wolfratshausen LK,"Bad Tölz-Wolfratshausen, Landkreis",DE216,Bad Tölz-Wolfratshausen,,,,
Bamberg,LK Bamberg,Bamberg LK,"Bamberg, Landkreis",DE245,"Bamberg, Landkreis",,,,
Barnim,LK Barnim,Barnim LK,"Barnim, Landkreis",DE405,Barnim,,,,
Bautzen,LK Bautzen,Bautzen LK,"Bautzen, Landkreis",DED2C,Bautzen,,,,
Bayreuth,LK Bayreuth,Bayreuth LK,"Bayreuth, Landkreis",DE246,"Bayreuth, Landkreis",,,,
Berchtesgadener Land,LK Berchtesgadener Land,Berchtesgadener Land LK,"Berchtesgadener Land, Landkreis",DE215,Berchtesgadener Land,,,,
Bergstraße,LK Bergstraße,Bergstraße LK,"Bergstraße, Landkreis",DE715,Bergstraße,,,,
Bernkastel-Wittlich,LK Bernkastel-Wittlich,Bernkastel-Wittlich LK,"Bernkastel-Wittlich, Landkreis",DEB22,Bernkastel-Wittlich,,,,
Biberach,LK Biberach,Biberach LK,"Biberach, Landkreis",DE146,Biberach,,,,
Birkenfeld,LK Birkenfeld,Birkenfeld LK,"Birkenfeld, Landkreis",DEB15,Birkenfeld,,,,
